Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
25,141,141.000,2321,11598,20111,28708,31185,43567,57156,386298,392158
26,134,134.000,1990,11050,17092,29984,26257,39583,44401,367753,372825
27,154,154.000,2473,10278,19082,25573,31004,41123,62362,221941,233394
28,182,182.000,1874,9943,17039,21962,31602,38818,45256,87035,102993
29,181,181.000,2572,10194,19845,22093,32126,37660,42822,73109,77931
30,211,211.000,2453,10218,13386,18825,28050,33338,39749,63455,71485
31,140,140.000,1958,11235,16433,28464,31229,56858,121040,197554,201849
32,210,210.000,1886,9312,15584,19314,25997,34686,51897,66903,75399
33,189,189.000,2183,11203,16509,21184,28155,40072,47965,77220,81297
34,122,122.000,2043,13175,23480,32841,41659,68331,102282,143002,148638
35,74,74.000,2690,20596,34071,57479,75597,120853,213679,283302,283302
36,92,92.000,1907,14926,27530,40576,47410,73456,127195,344090,344090
37,133,133.000,2134,10721,21953,29520,34366,47555,81581,196841,233912
38,172,172.000,1628,11132,18059,23393,32425,40073,64219,91096,101872
39,222,222.000,1642,8185,13720,17977,25328,35400,39870,68360,73898
40,170,170.000,2255,11590,19326,23444,34394,43461,50322,76840,82752
41,134,134.000,2518,12421,26363,29796,37406,57536,79996,136794,142403
42,199,199.000,2454,10375,17134,20389,28872,37259,39711,69913,73918
43,198,198.000,2124,8898,15825,19908,27708,36455,43707,73810,74925
44,157,157.000,1553,11777,25007,25878,36471,44145,59479,83206,92961
45,114,114.000,2489,12542,26452,34406,46027,78201,97392,111413,136901
46,141,141.000,1938,11472,19121,28293,32567,59480,95202,134899,153934
47,193,193.000,1968,9893,14991,20899,29782,39252,51225,76094,79447
48,184,184.000,1441,11107,17716,21339,30744,37891,42693,72847,73062
49,167,167.000,2550,11536,20374,24027,30570,43021,54399,116783,126138
50,171,171.000,1739,11159,18867,23577,35123,41781,48679,79154,85558
51,174,174.000,2205,10541,18069,22708,33937,42158,50059,73262,84990
52,145,145.000,1742,12624,19839,27636,34769,56197,74059,120481,125032
53,175,175.000,2445,11059,19709,22995,30988,41156,54712,74110,87054
54,148,148.000,2003,11930,20800,26789,40108,50952,62206,91196,99167
55,227,227.000,1314,6563,13619,17738,19619,37475,40981,124376,145257
56,176,176.000,2172,10990,16646,22743,31278,40151,55087,95068,106031
57,190,190.000,2309,10502,18727,21153,27572,38206,57198,68183,68393
58,92,92.000,2325,12109,26644,46384,66589,134125,150419,200318,200318
59,139,139.000,2140,12018,21916,27225,34636,49183,70798,103116,170041
60,125,125.000,1850,11641,22420,35818,40913,80186,110979,249212,317186
61,44,44.000,13519,34786,76095,93531,108159,152249,167179,745098,745098
62,23,23.000,11414,29925,77140,177336,274423,603006,603658,620518,620518
63,78,78.000,2136,13726,31195,40670,46441,78348,103983,302328,302328
64,116,116.000,2107,13574,24545,35326,46707,86778,96724,135608,177882
65,111,111.000,1891,13309,23263,35190,43294,75126,100808,187540,216380
66,148,148.000,2234,10606,18305,27728,39223,63638,70465,94973,108569
67,117,117.000,2456,12400,29387,34437,46779,78707,89379,97282,105937
68,176,176.000,2206,9715,17294,22084,30768,43088,53690,84387,89359
69,188,188.000,1861,10551,20003,21283,30551,36352,44162,67984,71287
70,148,148.000,2697,12531,23883,26962,34732,43009,66960,119412,142209
71,116,116.000,2764,11946,23896,35611,46005,71354,123979,154195,183169
72,54,54.000,2685,26512,49258,82703,88843,193031,273920,445994,445994
73,81,81.000,1946,13310,29741,41893,50656,79345,116217,294322,294322
74,179,179.000,2102,11314,17067,22295,33342,42009,50105,75449,89010
75,202,202.000,1584,8393,15076,19673,22790,43712,52982,75423,105706
76,135,135.000,1655,10771,21548,29943,37867,73876,86488,116397,134465
77,128,128.000,2450,13641,29688,31042,40190,52300,81868,97589,115624
78,160,160.000,2095,10960,20572,26811,35122,44776,78767,134849,168641
79,179,179.000,2507,9674,14180,20652,28605,35709,55326,85657,108198
80,170,170.000,1569,11752,18966,24224,30972,39052,64401,124283,153832
81,148,148.000,2232,12570,18251,26243,38040,49914,59005,94857,109004
82,152,152.000,2374,11870,24725,25957,35203,47639,57651,81451,87851
83,178,178.000,2087,10823,22014,22461,31190,40721,46583,65103,67484
84,204,204.000,1738,9424,15030,19530,23699,32065,46465,110900,182338
85,201,201.000,1551,10841,16314,19768,26954,36452,40583,64582,90724
86,158,158.000,1743,11245,18154,25607,32957,45366,61637,178517,192864
87,179,179.000,2570,10811,16794,22235,30328,40885,60208,78309,78765
88,128,128.000,2397,12810,26662,31092,40545,64449,91550,106239,106484
89,161,161.000,1890,10661,18258,24899,34843,47534,69117,89339,92250
90,173,173.000,1919,11173,19063,23376,34352,42136,51886,77973,78668
91,119,119.000,1913,12913,28586,33077,42206,63933,91548,166280,183240
92,174,174.000,1845,12021,19040,22894,33332,41029,46787,72212,74046
93,197,197.000,2240,9795,14718,20301,29750,39557,44418,81058,112205
94,168,168.000,1565,10374,14790,25020,28261,55863,92584,126424,130659
95,153,153.000,1780,9452,16603,25047,32974,54938,74211,93411,136100
96,150,150.000,2322,12206,22201,27962,39947,48822,57192,134469,144334
97,138,138.000,1552,11309,25030,27574,36122,60092,75423,105841,107692
98,153,153.000,2129,12586,22861,25667,33770,44358,56060,79316,102853
99,176,176.000,1883,11832,18065,23979,32731,42443,68288,88166,91301
100,169,169.000,2145,10174,19037,22307,32913,44817,51486,62786,64186
101,159,159.000,2724,12429,21773,25156,33382,42442,59514,92798,93697
102,169,169.000,2100,10729,18616,25869,34276,50417,65266,154157,165236
103,152,152.000,1432,10976,16914,23755,35721,45874,55547,85133,117014
104,163,163.000,2074,11395,20773,24390,33209,47114,61843,77212,81137
105,150,150.000,1942,11888,23968,26700,37050,51268,61991,83832,92208
106,207,207.000,1535,7964,13683,19264,24653,37746,41127,118536,121542
107,167,167.000,2321,11723,19389,25146,35169,46011,61027,117033,174337
108,151,151.000,1974,9921,15718,25689,32746,49376,76903,138196,138527
109,141,141.000,1894,11031,21240,27766,34487,55876,79317,128210,132345
110,190,190.000,1519,10524,14939,21311,29836,39445,59822,73260,81455
111,167,167.000,1409,10580,18091,23839,34222,42201,60342,72159,87500
112,146,146.000,2226,10879,21755,27084,32183,50948,71796,148302,161406
113,194,194.000,1538,10081,17754,20779,26870,40633,46606,63754,81085
114,206,206.000,1714,10847,16618,19287,26342,34473,40754,54661,64001
115,176,176.000,2035,10234,15870,22693,30727,38172,58557,124272,136394
116,218,218.000,1627,8661,15230,18232,23630,32781,40670,69563,96680
117,177,177.000,1650,9371,15963,22602,27901,36628,56461,174658,189801
118,212,212.000,1907,9270,16141,19207,27296,35752,42733,63845,68779
119,187,187.000,1771,10387,13847,20951,28336,35549,43837,109156,135646
120,211,211.000,1957,9456,17446,19058,27309,32457,39956,61734,77137
121,160,160.000,2256,11422,20924,25711,36300,47799,60238,80647,116794
122,133,133.000,2577,10126,21882,29077,37217,50797,86323,145179,183232
123,189,189.000,1955,10474,14902,21175,27798,40178,52505,83414,85143
124,118,118.000,1683,8944,15139,36798,27597,44770,61924,605693,613141
125,153,153.000,1489,9280,17675,23808,27244,39913,97685,120342,127442
126,218,218.000,1605,8564,15118,18431,25809,33902,44195,59038,64321
127,206,206.000,1900,8761,14568,19071,27354,35150,47795,65315,73286
128,145,145.000,1919,11616,20516,27686,30736,57300,77210,179258,213769
129,202,202.000,1565,9870,17774,19647,27000,34294,38990,66812,68597
130,206,206.000,1770,10242,16692,19732,26671,36599,45805,53049,82547
131,147,147.000,1784,10112,16486,26729,32614,54357,98588,130958,135573
132,203,203.000,1774,9853,15256,19765,28594,38214,44298,56703,67324
133,199,199.000,1983,9645,19322,20054,28247,34328,41076,59668,62985
134,180,180.000,1681,10345,16907,23076,31596,41185,58087,110232,143865
135,159,159.000,2042,10358,20644,24224,32087,57833,65128,79218,82700
136,203,203.000,1420,9153,13523,19460,23260,37102,62941,98133,100984
137,240,240.000,1943,8877,14923,16801,23240,28740,35703,57481,59947
138,159,159.000,2957,11546,19804,24958,34485,46822,53297,97687,99659
139,200,200.000,1427,10095,17175,19929,27286,35150,41793,71521,75390
140,182,182.000,2019,10294,18527,23274,29163,41396,59023,132458,146555
141,177,177.000,2463,9952,13765,21559,29905,46920,54540,73007,99504
142,210,210.000,1801,9333,16893,18706,28265,34083,37205,52374,68391
143,213,213.000,1734,9484,15405,18862,27380,34626,37908,63464,65526
144,160,160.000,1833,10720,16293,25691,26902,47498,95685,183046,195271
145,221,221.000,1246,8125,14665,18010,23631,36190,40853,71159,80849
146,185,185.000,2130,9785,14487,21210,30478,38286,61326,71387,77670
147,171,171.000,1533,10822,21428,24550,29275,38461,72550,164938,168879
148,190,190.000,1669,9815,16565,20011,28244,34887,42103,65462,103863
149,216,216.000,1303,9118,15327,18319,26760,32550,40130,54120,58846
150,204,204.000,1614,9538,18178,19413,26614,32566,42749,60348,66507
151,180,180.000,1713,9443,14782,22212,29351,39121,65075,126850,132603
152,222,222.000,1937,9341,15140,18109,25700,32129,35962,52459,60197
153,236,236.000,2099,8484,13450,18604,24648,31153,39621,131299,156474
154,131,131.000,2254,10749,17871,27332,31327,39681,55939,246561,263724
155,167,167.000,1752,11695,22070,24302,32088,44546,59699,76437,85520
156,208,208.000,1990,9681,14689,20602,26782,38616,58195,83484,169164
157,195,195.000,1601,8460,16361,19352,25012,35640,55214,79477,100414
158,135,135.000,1784,9977,21310,28915,36536,67880,88657,128132,130925
159,109,109.000,2300,12082,28212,36935,50058,81178,94797,141659,154975
160,146,146.000,2061,9528,19609,27486,34293,61837,82982,132795,146126
161,114,114.000,1710,12428,28068,34515,43838,80539,100499,133678,139561
162,166,166.000,1795,9447,19891,24099,33051,50805,57966,100939,136018
163,150,150.000,1724,9788,20899,26580,32391,56140,67718,114448,134051
164,126,126.000,1571,10828,26449,31640,47474,66034,77381,97020,113496
165,153,153.000,2124,9526,20228,26354,35218,56087,75222,96173,113025
166,93,93.000,1586,11383,26625,48774,55082,100425,146115,520516,520516
167,103,103.000,1926,9336,20984,42180,41992,107199,207256,269722,335996
168,139,139.000,1715,8166,17223,22053,28545,45766,59395,131983,140259
169,215,215.000,1747,8173,13354,19068,27273,36307,43793,65004,83679
170,207,207.000,1590,8970,13338,18820,26815,35890,40846,65444,71046
171,167,167.000,2366,9742,21620,24436,35561,44387,58160,88857,90107
172,179,179.000,1897,9294,15029,21925,32243,42154,58060,82349,89680
173,246,246.000,1770,7205,11295,16175,22602,31140,40104,59059,61072
174,238,238.000,1587,6934,10805,16777,23079,31532,50033,64165,67431
175,281,281.000,1410,5993,11258,14124,19638,26957,36725,51831,53240
176,192,192.000,1706,8931,14722,20906,29181,40184,48530,81294,86913
177,198,198.000,2080,8582,16599,20426,29496,37238,56045,65904,76787
178,212,212.000,1966,7938,12077,18589,26059,34500,55434,63197,67363
179,223,223.000,1991,7952,12968,17625,24480,31676,37284,59346,69956
